0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195
-5.743643,-9.585829,-10.844819,-10.905064,-10.9276705,-11.046581,-11.1616335,-11.229608,-11.25974,-11.276534,-11.280375,-11.154361,-10.010147,-6.4774685,-4.833302,-8.897986,-11.060201,-11.887995,-11.717778,-10.728274,-9.619633,-8.6855,-8.161256,-8.043855,-8.330305,-8.6423435,-8.101502,-5.5533614,-7.7146797,-13.121458,-15.209675,-16.603575,-18.572609,-20.65186,-22.17372,-23.802975,-24.97356,-24.770918,-22.794968,-20.197771,-16.986313,-10.892781,-7.790762,-14.883975,-19.433647,-20.9311,-19.534925,-15.754274,-11.542738,-7.432231,-5.068596,-5.3720827,-8.184201,-11.263841,-12.038538,-8.600645,-7.3726177,-13.783413,-19.126413,-25.447971,-31.284237,-34.413857,-35.213676,-36.769867,-38.266823,-36.387424,-30.11619,-22.781113,-16.769953,-10.252359,-7.8237243,-14.958768,-19.773285,-22.211384,-22.523806,-20.927553,-18.295496,-15.609024,-14.642503,-16.43482,-19.673824,-22.245,-21.893375,-15.066292,-7.3998346,-14.455223,-21.119923,-28.628794,-34.395004,-34.868164,-30.75198,-26.073399,-23.216404,-20.441126,-16.593067,-12.466441,-9.062742,-5.749517,-7.9618216,-14.647284,-18.438765,-20.139153,-20.807358,-21.081621,-21.161665,-21.13218,-20.806877,-20.737772,-20.67743,-20.491337,-18.849298,-12.645965,-6.6697416,-11.736456,-14.483194,-16.986523,-19.362526,-19.667751,-17.401825,-14.409923,-13.111266,-13.596079,-14.600195,-14.792698,-13.198865,-8.677784,-7.8969917,-14.642876,-19.18201,-23.121773,-26.978344,-29.759525,-30.270802,-28.256142,-24.24283,-19.663536,-15.869265,-13.617165,-11.778799,-7.8974743,-6.9586935,-11.591916,-12.412514,-11.423901,-10.530247,-9.772907,-9.058662,-8.645193,-9.426835,-11.413125,-13.689787,-14.980344,-13.990961,-9.313816,-7.8796244,-13.980278,-17.088915,-19.229786,-21.4678,-23.2825,-23.836267,-23.006674,-21.079031,-18.787516,-16.815496,-15.50617,-13.676501,-9.065304,-5.1062775,-8.836576,-9.972706,-9.939756,-9.899936,-9.833945,-9.641198,-9.363701,-9.31549,-9.556574,-9.906431,-10.033054,-9.233518,-6.2873096,-5.41911,-9.430551,-10.960304,-11.205407,-11.206394,-11.15282,-11.073357,-11.026889,-11.014388,-11.016882,-11.019033,-10.910979,-9.861585,-6.527175
-5.77543,-9.690105,-11.069925,-11.255286,-11.351454,-11.47299,-11.636085,-11.901842,-12.2373295,-12.364698,-12.163361,-11.629044,-10.173755,-6.5018625,-4.6215987,-8.163193,-9.492292,-9.680553,-9.44695,-9.13047,-8.7746315,-8.287801,-7.4864235,-6.9304457,-6.963085,-7.56812,-7.536741,-5.387645,-7.8567643,-13.582534,-16.252146,-18.149776,-20.53624,-22.095085,-22.562878,-22.761446,-24.19,-25.780785,-26.093643,-23.94559,-19.266708,-11.551962,-7.1875143,-12.770723,-15.142161,-15.601606,-14.912091,-13.898334,-12.844933,-12.003904,-10.004132,-7.141094,-4.699401,-4.8119035,-6.4116907,-5.709504,-7.057876,-12.277381,-15.075262,-17.883339,-21.766132,-24.638603,-25.499908,-25.364466,-27.184393,-31.266445,-34.733616,-33.53225,-26.19588,-14.675798,-7.2672815,-13.64296,-18.940153,-25.019493,-30.700272,-32.474697,-30.25413,-26.807638,-24.184826,-20.080448,-14.347689,-9.737208,-8.321824,-6.3546066,-7.043804,-11.700747,-11.992955,-9.875442,-8.022835,-8.334984,-9.96028,-11.759918,-12.866821,-15.191214,-18.289852,-20.21613,-17.979298,-11.205903,-7.152561,-12.908341,-16.743816,-20.58449,-24.459433,-25.781052,-24.517937,-22.366455,-21.613096,-20.766249,-18.91272,-16.186989,-13.377087,-8.668688,-7.1655397,-12.539112,-14.601284,-15.178976,-15.771879,-16.869038,-17.746634,-17.843634,-16.71421,-15.306438,-14.331364,-14.07254,-12.959078,-8.788298,-7.069865,-12.07403,-13.460081,-12.919647,-12.232328,-11.985075,-12.394162,-13.132397,-13.896431,-14.4937315,-14.895271,-14.811641,-13.310796,-8.771334,-7.197132,-12.59584,-14.8474,-15.805891,-16.782787,-17.71603,-18.14981,-17.96753,-17.28966,-16.523678,-15.973654,-15.709253,-14.363432,-9.655473,-7.6528587,-13.200893,-15.147284,-15.251482,-15.073384,-14.923679,-14.935099,-15.019629,-15.060017,-14.9394,-14.710564,-14.269211,-12.745211,-8.463188,-4.9590344,-8.710652,-10.0511265,-10.553219,-11.574168,-13.289701,-15.025454,-16.121334,-16.504702,-16.65459,-16.852104,-16.91603,-15.427598,-10.255667,-5.452403,-9.4218235,-10.847088,-10.8327465,-10.337618,-9.526337,-8.6971,-8.154442,-7.9421606,-7.8622365,-7.7813835,-7.633083,-6.94683,-4.745969
-5.778166,-9.707846,-11.066731,-11.141981,-11.05662,-11.044064,-11.112053,-11.192492,-11.225717,-11.230211,-11.255732,-11.183081,-10.066441,-6.5196104,-4.60201,-8.047842,-9.364771,-9.809048,-10.046138,-9.95883,-9.601036,-9.403601,-9.494202,-9.663691,-9.594243,-9.2825775,-8.332438,-5.622203,-7.8844795,-13.760522,-16.507734,-18.18367,-20.003124,-20.906239,-20.15084,-17.967464,-16.172422,-15.805688,-16.696352,-17.410852,-15.94004,-10.454836,-7.1728272,-12.539301,-14.599417,-14.987055,-14.924247,-15.496185,-17.334929,-20.685333,-23.173998,-22.871037,-19.601166,-15.571581,-12.048605,-7.581462,-7.0251865,-12.309435,-15.404569,-18.659187,-22.329247,-22.415287,-16.857655,-7.7292233,-1.8787551,-2.9640372,-9.27874,-15.419292,-16.72462,-11.542198,-7.39112,-13.911123,-19.108976,-24.975487,-31.589722,-38.039608,-43.76684,-45.974056,-46.046623,-43.24724,-36.858345,-25.157288,-15.568842,-8.1496315,-6.9343395,-11.348325,-11.36726,-8.779528,-5.53036,-1.7343931,2.8023338,7.4077725,9.352485,6.4477024,-0.66829234,-8.405514,-12.195425,-9.452623,-7.2786093,-13.396841,-17.85088,-22.663609,-28.107752,-32.461426,-34.322327,-34.52105,-33.992252,-32.319775,-27.737469,-21.67629,-15.667025,-9.082682,-7.0436077,-11.998343,-13.114253,-11.988398,-10.354629,-9.098671,-8.584562,-8.683324,-9.0992155,-9.884776,-11.203226,-12.716318,-12.69662,-8.8734665,-7.370494,-12.768909,-14.73858,-15.0860195,-15.303091,-15.556652,-15.7360325,-15.77688,-15.657507,-15.313189,-14.71773,-13.866112,-12.116178,-7.967454,-7.0478125,-12.213112,-14.007987,-14.105123,-13.897089,-13.66244,-13.508976,-13.493753,-13.623836,-14.011084,-14.795002,-15.742638,-15.101414,-10.321621,-8.131636,-14.066849,-16.311468,-16.852476,-17.342451,-17.904263,-18.33486,-18.505154,-18.332918,-17.66861,-16.486046,-14.96031,-12.664196,-8.186333,-5.3980556,-9.472323,-10.876789,-10.961274,-10.829283,-10.715116,-10.661452,-10.629804,-10.575307,-10.545166,-10.685297,-10.953173,-10.351459,-7.1451993,-5.3511615,-9.284888,-10.761152,-11.032022,-11.20492,-11.397205,-11.537928,-11.605891,-11.60637,-11.513503,-11.295784,-10.896219,-9.641829,-6.3253717
-5.8350444,-9.739086,-11.007099,-10.987995,-10.89886,-10.980674,-11.24782,-11.42571,-11.434967,-11.482157,-11.6956835,-11.768797,-10.498368,-6.695836,-5.3771267,-10.283138,-13.777624,-16.311779,-17.401451,-16.367863,-13.660856,-11.114042,-9.747583,-9.364924,-9.451164,-9.828632,-9.82957,-7.0532875,-6.604542,-10.191593,-9.580983,-8.094327,-8.683969,-11.541456,-15.899513,-19.548279,-21.828217,-22.581703,-22.032707,-20.021126,-15.783653,-9.446283,-10.626322,-21.600769,-31.479527,-39.020317,-41.544113,-37.765213,-29.555275,-22.12048,-17.814272,-16.669811,-17.274769,-18.699486,-18.98424,-13.432403,-4.7567983,-6.9311256,-6.2830653,-6.6904936,-9.994148,-14.293274,-18.0463,-19.7317,-19.635592,-18.153387,-16.742298,-16.27686,-15.085867,-10.42411,-9.194891,-18.078987,-25.803726,-33.227627,-39.422432,-42.382584,-42.112797,-41.489094,-42.706467,-43.721916,-40.820316,-32.83156,-22.532785,-12.030855,-6.533198,-11.140524,-12.826855,-13.16028,-12.4444275,-10.300406,-7.4631424,-4.9037385,-2.3325028,-1.0392218,-2.9555922,-8.490133,-13.245742,-11.08458,-7.201769,-12.723999,-15.712132,-19.052166,-24.453125,-30.273533,-34.15103,-35.69484,-36.65529,-36.600002,-33.723248,-27.297611,-19.123238,-10.515282,-7.0604105,-12.284937,-14.321102,-14.574335,-13.939255,-12.526922,-11.029999,-10.023693,-9.521391,-9.872477,-11.420513,-13.797199,-14.502253,-10.393334,-7.8206153,-13.574245,-15.702114,-16.389137,-17.66174,-19.843365,-21.887629,-22.918823,-22.899689,-22.427248,-21.949177,-21.279247,-18.976757,-12.433409,-6.44516,-11.152704,-13.015705,-14.09625,-15.761272,-17.376694,-18.01465,-17.3426,-15.855145,-14.368882,-13.128462,-12.013937,-10.243759,-6.7630796,-9.662081,-16.79535,-19.479506,-19.55591,-18.956902,-18.758316,-19.60389,-21.45201,-23.708138,-25.875092,-27.878332,-29.24477,-27.325611,-18.13626,-4.697718,-8.607415,-10.778226,-12.711533,-15.189844,-17.574911,-19.05304,-19.241543,-18.337677,-16.77356,-14.970506,-13.235891,-11.115116,-7.335041,-6.0031366,-10.312965,-11.673834,-11.302959,-10.486231,-9.783581,-9.574894,-9.976512,-10.805656,-11.8441925,-12.920244,-13.688989,-12.910854,-8.739941
-5.9699993,-10.041563,-11.48937,-11.6442,-11.625725,-11.613165,-11.603657,-11.591829,-11.581965,-11.622276,-11.775086,-11.927802,-10.963828,-7.19324,-4.733713,-8.241793,-9.386769,-9.393274,-9.162331,-8.894889,-8.8563385,-9.149882,-9.646655,-9.876845,-9.646622,-9.0026045,-7.781331,-5.1625886,-8.129946,-14.060157,-16.541258,-17.95492,-19.983536,-22.117914,-22.824102,-21.521818,-18.798378,-16.50358,-15.749098,-16.434494,-16.044136,-11.131155,-7.33275,-12.684353,-14.365249,-13.911221,-13.012556,-12.541121,-13.66623,-16.330555,-20.03376,-23.139368,-24.930473,-24.751421,-21.62144,-13.754397,-7.333702,-12.752015,-15.242621,-17.394396,-20.51019,-23.097708,-22.39014,-18.049683,-11.183655,-4.682092,0.016568482,1.5506129,0.5701051,-0.92027605,-7.3369856,-12.865114,-15.661465,-18.636765,-24.339113,-32.35504,-40.12091,-44.271194,-44.339317,-43.32258,-44.64763,-46.33385,-42.464905,-27.106417,-7.3326406,-12.598681,-13.957268,-12.645361,-9.5948925,-5.137368,-0.42585045,2.4571412,3.4312806,4.0137243,6.4798675,9.286614,9.458947,5.345188,-7.3357964,-12.827845,-15.513828,-18.129765,-22.834414,-29.150774,-34.67103,-36.256886,-35.46334,-34.03196,-34.01927,-34.412125,-31.249428,-20.005259,-7.334053,-12.669379,-14.3360405,-13.827684,-12.412843,-10.459018,-8.624416,-7.7730293,-8.121523,-9.028778,-9.397362,-9.081192,-7.9994774,-5.507876,-7.333932,-12.706236,-14.620757,-14.887321,-15.10668,-15.688278,-16.68628,-17.835918,-18.671593,-18.899487,-18.624027,-18.007233,-16.012577,-10.507889,-7.3914413,-12.801428,-14.722544,-14.902159,-14.696902,-14.181984,-13.342082,-12.398841,-11.65541,-11.230479,-11.031688,-10.796613,-9.789307,-6.6541595,-7.897026,-13.636131,-15.686278,-15.990555,-16.354095,-17.286274,-18.809544,-20.51194,-21.835997,-22.591717,-22.986206,-23.100273,-21.07153,-13.893313,-5.1092057,-8.980137,-10.327923,-10.440616,-10.252946,-9.824562,-9.17196,-8.444826,-7.793214,-7.2070093,-6.624785,-6.0088396,-5.2677107,-3.7255764,-5.624826,-9.722261,-11.218667,-11.419749,-11.557012,-11.908142,-12.487006,-13.158738,-13.728886,-14.143971,-14.468163,-14.632534,-13.372449,-8.759226
-5.9699016,-10.042923,-11.56998,-12.042601,-12.5918255,-13.04395,-12.992727,-12.458446,-11.922667,-11.668206,-11.647789,-11.527659,-10.341166,-6.6878605,-4.715343,-8.213182,-9.306382,-9.12788,-8.617216,-8.315615,-8.529301,-9.13515,-9.497277,-9.507517,-9.356884,-9.283451,-8.5696,-5.8538146,-8.237553,-14.223204,-16.483725,-17.237417,-18.252003,-19.123821,-19.082304,-18.138914,-17.48631,-17.52145,-17.796667,-17.318304,-15.023237,-9.61446,-7.5034304,-12.984732,-15.539732,-17.635176,-20.49025,-23.234735,-24.805534,-25.265234,-24.550928,-23.227106,-21.894058,-21.369919,-19.772665,-13.343249,-7.1390686,-12.513258,-13.586271,-11.062378,-7.0971355,-4.1089973,-3.4506474,-3.8951063,-4.629816,-5.588311,-6.955173,-7.0177073,-5.3572526,-3.0477877,-8.553045,-14.712109,-18.746374,-24.74819,-33.42448,-39.864155,-43.410027,-45.512356,-46.77928,-47.142754,-45.860657,-43.331272,-36.986404,-23.055164,-6.647749,-12.004093,-13.5554695,-11.545637,-7.6368027,-4.1455107,-2.5305126,-1.3138788,0.36084676,1.7760562,1.0506005,-0.61360395,-1.9465377,-1.9793695,-8.009829,-13.556268,-15.870716,-18.019516,-21.532627,-25.212864,-28.000702,-30.47485,-32.6411,-33.764,-32.725853,-30.149195,-25.172401,-15.7936735,-7.4210033,-13.62317,-17.160545,-19.190758,-20.297504,-20.14986,-18.630905,-16.060488,-13.5975895,-12.382163,-12.770369,-13.687843,-13.204887,-9.056761,-7.2166405,-12.262515,-13.9552,-14.6495,-16.201015,-18.47131,-20.756618,-22.124193,-21.759462,-19.618809,-16.896338,-14.823357,-12.810692,-8.522782,-8.112685,-14.192158,-16.558897,-16.905392,-16.700413,-16.471321,-16.562502,-17.145548,-18.227907,-19.581785,-20.621798,-20.774685,-18.580256,-12.096272,-6.9819,-12.346876,-14.86848,-16.353193,-17.953358,-19.240843,-19.63173,-18.917406,-17.324636,-15.300867,-13.537705,-12.217468,-10.687587,-7.196887,-7.4427185,-12.740818,-14.644758,-15.337503,-16.352924,-17.873318,-19.910097,-22.1489,-23.8461,-24.763515,-25.346756,-26.03504,-24.300713,-16.259924,-4.3085723,-7.6851645,-8.982709,-9.025254,-8.652272,-8.068864,-7.326777,-6.552951,-5.986435,-5.6188164,-5.224232,-4.4646726,-3.5444882,-2.40254
-5.767501,-9.688104,-11.053032,-11.167641,-11.126604,-11.13,-11.181999,-11.274853,-11.363908,-11.398221,-11.370412,-11.1946125,-10.019891,-6.4786234,-4.6814365,-8.239413,-9.669802,-10.14693,-10.424536,-10.369233,-10.018919,-9.610126,-9.4131365,-9.3794985,-9.341622,-9.145652,-8.240028,-5.551833,-7.7869563,-13.450354,-15.645315,-16.6622,-18.02708,-19.418236,-19.674667,-18.599808,-17.000172,-16.045513,-16.150736,-16.83837,-16.075226,-10.947763,-7.3118534,-12.776,-15.176433,-16.190931,-17.36344,-18.595947,-20.043911,-21.292429,-21.632027,-20.198511,-17.2983,-13.851645,-10.3412,-6.2556906,-7.1106215,-12.702399,-15.593284,-17.770027,-19.537832,-19.125454,-15.029604,-9.149351,-5.476031,-6.5551558,-11.277653,-16.796932,-19.1144,-13.927795,-7.140893,-12.346271,-15.105867,-18.894936,-26.560593,-37.12003,-46.58757,-48.000244,-43.807354,-36.168053,-25.542286,-16.48223,-10.268024,-5.608043,-7.1598854,-12.579777,-14.51263,-13.787687,-10.5506115,-4.489874,2.599724,7.0479393,5.7614675,-0.66113096,-8.583037,-14.559528,-16.20267,-11.522232,-7.0791245,-12.295626,-14.722828,-17.254808,-22.263565,-29.367916,-35.74385,-37.440998,-35.580116,-29.79829,-22.725248,-17.281578,-13.206369,-8.20552,-7.1881394,-12.384864,-14.097468,-13.920221,-13.075759,-11.656843,-10.080479,-9.162122,-9.59321,-11.223032,-13.109253,-14.190819,-13.206966,-8.79529,-7.182975,-12.541565,-14.490551,-14.634869,-14.464706,-14.616946,-15.510263,-17.027092,-18.393284,-18.684048,-17.800846,-16.341164,-14.027845,-9.12577,-7.9158144,-13.497956,-15.281582,-15.2632065,-15.142808,-15.184517,-15.425165,-15.712946,-15.783211,-15.598822,-15.297413,-14.913183,-13.395961,-8.8958435,-7.118785,-12.495433,-14.566471,-14.995411,-15.110781,-15.216988,-15.491247,-16.069578,-16.7918,-17.21883,-17.125294,-16.552105,-14.691641,-9.684499,-7.693961,-13.284664,-15.087347,-14.626826,-13.516541,-12.680269,-12.986673,-14.35132,-15.821341,-16.361702,-15.867657,-14.782253,-12.813502,-8.399318,-4.165356,-7.33616,-8.576871,-9.045776,-9.549953,-9.905906,-9.821438,-9.39311,-8.972184,-8.877937,-9.084004,-9.292034,-8.60338,-5.8183527
-5.9699993,-10.041868,-11.49365,-11.650799,-11.621903,-11.58106,-11.555576,-11.565685,-11.6043825,-11.639667,-11.657154,-11.530264,-10.344558,-6.6908016,-4.7276535,-8.222597,-9.372444,-9.543085,-9.741745,-10.074764,-10.243879,-10.100645,-9.743816,-9.521728,-9.4814,-9.46365,-8.670759,-5.884631,-8.15785,-14.14229,-16.419388,-16.714375,-16.526392,-16.23178,-16.33311,-16.764973,-17.06227,-16.637495,-15.91234,-15.340162,-13.945653,-9.3750725,-7.5905538,-13.476188,-16.235962,-17.599136,-19.019154,-20.446833,-21.256584,-21.4951,-21.71116,-22.483353,-23.005167,-22.090097,-18.563566,-11.4466095,-6.9269133,-11.740782,-13.06119,-13.052663,-12.970188,-12.704872,-11.917453,-10.22008,-7.5492954,-4.5209174,-2.7833714,-3.4963703,-5.249646,-4.8767776,-8.513532,-16.086905,-21.136654,-24.073746,-26.086176,-28.071909,-31.653934,-37.010616,-41.687614,-42.85325,-41.283676,-37.032776,-29.403551,-16.940025,-6.561316,-11.089605,-13.110559,-15.6030655,-18.465645,-18.716005,-14.359926,-7.186618,-1.118101,1.145005,-0.16320711,-2.9906483,-5.057312,-4.473017,-7.964847,-14.197048,-16.5453,-15.9064865,-14.603937,-15.08173,-18.925222,-24.958248,-29.657846,-30.550411,-28.074673,-24.52653,-19.993343,-12.456877,-7.180831,-12.691008,-15.9389105,-19.209515,-22.611021,-23.53384,-20.828068,-16.223131,-13.146257,-12.861199,-14.257574,-14.980797,-13.496045,-8.730866,-7.3289576,-12.531655,-13.754757,-12.653901,-11.176385,-10.668318,-11.562235,-13.329937,-14.506537,-14.610067,-14.067936,-13.748354,-12.702101,-8.686356,-7.393566,-12.906719,-15.296723,-16.533792,-17.818142,-18.472729,-17.980583,-16.660383,-15.654579,-15.444992,-15.76997,-15.766988,-14.155701,-9.291789,-7.8958964,-13.588442,-15.452803,-15.303062,-14.826426,-14.572954,-14.722867,-15.188599,-15.563292,-15.664479,-15.553392,-15.337493,-13.926876,-9.303656,-5.109748,-9.009296,-10.473938,-10.878741,-11.1893635,-11.362871,-11.265757,-10.961686,-10.763059,-10.902708,-11.365873,-11.673014,-10.756454,-7.2234316,-5.62475,-9.714505,-11.1790905,-11.286252,-11.207378,-11.168143,-11.197347,-11.27407,-11.294163,-11.176558,-10.931711,-10.619392,-9.538533,-6.3470535
-5.969359,-10.056042,-11.549713,-11.74336,-11.699886,-11.598351,-11.561701,-11.646542,-11.775017,-11.821127,-11.769994,-11.572048,-10.350668,-6.690798,-4.740638,-8.224434,-9.320175,-9.523579,-9.927111,-10.448109,-10.445891,-9.763731,-8.988985,-8.680151,-8.874532,-9.10516,-8.510945,-5.83062,-8.070254,-13.968874,-16.501064,-17.701838,-18.868263,-19.79825,-20.5882,-21.579432,-22.277956,-22.042763,-20.607853,-18.667534,-15.764114,-10.081941,-7.6952567,-14.09527,-17.473598,-18.880035,-19.031136,-18.15494,-16.256748,-13.767136,-12.176218,-12.823919,-15.575211,-18.080051,-17.486,-11.637749,-6.9755726,-11.49744,-13.195452,-15.927044,-21.620155,-27.507236,-30.755466,-31.29302,-29.916101,-25.85127,-18.981882,-12.305593,-8.08489,-5.130284,-8.095341,-16.062786,-22.153217,-25.623936,-25.228392,-22.791069,-20.687916,-20.430254,-21.736467,-26.463017,-33.797173,-38.770226,-34.819267,-21.252563,-7.606352,-13.847479,-18.671642,-24.773178,-31.767904,-35.176987,-33.904625,-30.468609,-27.063038,-20.812294,-11.229281,-3.0713565,-0.173473,-0.87217486,-7.3002615,-12.794416,-14.569876,-13.954361,-12.699141,-12.647171,-13.2583885,-13.3866,-13.015654,-15.740274,-21.91476,-27.139257,-26.042957,-16.512405,-8.269502,-15.315781,-20.356455,-24.852966,-28.458778,-29.3936,-28.991707,-29.659872,-31.038446,-28.980743,-22.504816,-15.482996,-10.9074955,-6.999523,-7.1259346,-12.7015915,-15.687637,-18.171494,-20.965199,-22.570873,-20.70178,-15.23866,-9.332999,-7.305236,-9.806327,-13.60969,-14.474903,-10.037528,-8.523388,-14.749148,-17.009666,-17.360666,-17.906994,-18.909698,-20.506807,-22.47902,-23.970993,-23.260473,-20.293818,-16.780731,-13.522479,-8.718348,-7.6436687,-13.272377,-15.568933,-16.622707,-17.584036,-18.074629,-17.580086,-16.346716,-15.21635,-15.191116,-16.295795,-17.50282,-16.591274,-11.172199,-7.2997103,-13.175495,-16.089123,-17.442385,-18.464058,-19.045246,-18.88604,-17.94868,-16.665222,-15.505401,-14.836339,-14.665176,-13.589269,-9.271418,-4.782935,-8.074052,-8.778779,-8.279825,-7.812414,-7.7061696,-8.032626,-8.715212,-9.484406,-10.045894,-10.275255,-10.118654,-9.064384,-6.042367
-5.9582963,-10.048648,-11.548736,-11.749615,-11.72093,-11.641554,-11.580862,-11.573785,-11.603268,-11.621238,-11.625345,-11.499546,-10.326265,-6.684243,-4.877554,-8.304934,-9.122804,-8.847683,-8.79681,-9.199169,-9.721521,-9.935673,-9.854964,-9.780201,-9.763014,-9.595145,-8.584374,-5.738164,-8.689177,-15.652699,-19.924011,-23.192995,-24.994759,-24.187714,-21.334446,-18.72344,-17.211826,-16.559261,-16.493847,-16.87891,-16.117813,-11.021306,-7.0145946,-11.918568,-12.570078,-10.530165,-9.107834,-10.165609,-13.60965,-16.652348,-17.777605,-17.260086,-15.932276,-14.101269,-11.20742,-6.961116,-9.714766,-17.016455,-21.975044,-27.850037,-32.71775,-32.351063,-26.189049,-19.028305,-14.545406,-13.439778,-14.762615,-17.23343,-18.2042,-13.022774,-6.783937,-14.2237,-20.58467,-24.899042,-26.13158,-25.55685,-25.553282,-26.587725,-26.043571,-22.85302,-18.179424,-14.225077,-10.788586,-6.7330103,-8.267614,-13.012403,-13.466328,-13.578218,-15.890709,-18.502443,-19.653011,-18.950005,-18.008812,-17.383352,-17.445467,-17.833183,-17.074776,-11.737338,-7.4495506,-14.322502,-19.139292,-22.242243,-22.60585,-20.335514,-16.73912,-14.268576,-13.110403,-13.261265,-13.727056,-13.892461,-12.271491,-7.99488,-7.262528,-12.700317,-15.665064,-18.581728,-22.869522,-27.29317,-31.164524,-33.727585,-34.127228,-31.046007,-25.636585,-20.699997,-17.085487,-11.243797,-7.4442472,-12.6361265,-13.650084,-12.34398,-10.601988,-9.339252,-8.351178,-7.6340504,-7.9323077,-10.384122,-14.321436,-17.313427,-16.525976,-10.870738,-7.596919,-13.337239,-16.358372,-18.827255,-21.737455,-23.886288,-25.023884,-25.593496,-25.421062,-23.222986,-18.991512,-14.887407,-11.997966,-8.025349,-7.780905,-13.498397,-15.481697,-15.63295,-15.601558,-15.847571,-16.083885,-16.092598,-16.236012,-17.317087,-19.399204,-20.97487,-19.487661,-12.742079,-6.3273754,-10.842822,-12.471953,-13.226533,-14.208958,-14.801464,-14.7133045,-14.260183,-13.636286,-12.553817,-11.141759,-10.192738,-9.371524,-6.661916,-5.031992,-8.881737,-10.371774,-10.536264,-10.435366,-10.395338,-10.455517,-10.564185,-10.7996235,-11.267932,-11.828425,-11.937193,-10.6527405,-6.9168196
