0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
13.195175,21.024826,9.830911,-2.3547275,-22.175539,-16.438494,15.498325,25.705544,41.262844,17.336199,-3.9944308,-47.17449,-56.138493,2.5144138,32.29549,56.810528,34.410854,12.378666,-28.587475,-51.771263,-8.14304,24.994888,50.763603,48.895546,39.319317,16.615046,-5.730687,2.5694103,8.843321,28.812315,38.378998,37.517002,27.664223,14.837686,10.129722,-5.3326755,4.2412753,9.963184,8.613336,4.740507,2.4655025,5.2504663,-6.4500356,-8.520727,-9.032836,-9.416384,-9.419213,-7.5976834,-2.2141812
-1.5999298,4.3588696,7.4572997,8.633302,8.9488945,9.538003,8.409226,-6.8237696,-2.7103596,-0.669713,1.4071684,2.5646615,4.3998055,8.778709,-8.806575,-5.6067815,-4.4290643,-2.8679175,-1.5573589,1.1654112,7.3732243,-9.193776,-5.0708537,-3.0173395,-2.6402066,-2.0999193,0.98733056,7.3259435,-9.652337,-5.327545,-2.6146295,-2.6039717,-2.3959541,0.7123419,7.0951147,-9.097217,-7.4248915,-5.255843,-5.129348,-4.9049206,-2.0374317,4.391998,-6.517619,-8.710954,-9.168033,-9.19971,-9.076166,-7.3962564,-2.1506994
-1.7616794,4.7850885,8.038023,8.322282,8.419683,9.342625,8.224829,-6.116076,-4.259892,-0.9542444,2.9071145,3.182129,4.4516625,8.645088,-1.9577364,-14.075653,-16.17244,-0.953484,2.3851633,1.4774189,7.2762785,7.5035706,-14.210687,-27.73364,-6.056787,2.9082844,1.346357,7.1718016,11.01735,-3.992865,-19.87021,-7.7781434,-0.22315253,0.8959474,6.9097295,3.5801828,1.6628284,-5.567061,-6.1640344,-4.950892,-1.9732665,4.271675,-3.7940166,-4.4587884,-7.0791807,-9.584119,-9.393364,-7.2511325,-2.1090524
-1.8033988,4.909123,8.238484,8.517526,8.614383,9.583201,8.471407,-7.6226883,-1.9070296,1.4861934,1.7838912,1.9996997,4.4601297,8.894432,-9.963641,-5.5183034,-2.3984675,-2.1186893,-1.8568832,1.1935349,7.4756875,-10.086524,-5.7724657,-2.6703746,-2.3870573,-2.1233122,0.9628829,7.3648944,-10.025288,-5.968549,-2.9392123,-2.6570015,-2.3919232,0.68069106,7.108553,-9.193647,-7.6058264,-5.378673,-5.166322,-4.9189973,-2.0424683,4.413179,-6.540548,-8.751894,-9.221903,-9.255822,-9.125171,-7.428137,-2.1561
9.516281,15.863857,-11.337359,-16.569218,10.308484,15.298075,8.860694,15.886862,29.313938,-21.99556,-49.311325,-7.0381813,14.213243,9.973315,17.639454,37.743416,-4.696456,-44.570747,-17.340132,5.218952,8.283724,10.410099,30.278664,18.0908,-7.2610006,-7.308107,0.42892942,7.2511754,-2.424309,12.748478,16.721222,7.6710386,-0.70846087,-0.027994845,6.755886,-8.289207,-3.5074272,-0.17378372,-2.1074371,-4.389032,-2.1567593,4.236598,-6.358272,-8.500594,-8.952014,-8.983657,-8.856328,-7.2129345,-2.1001608
-0.4140185,10.122961,8.23416,-1.7883592,3.9963675,12.435665,9.52046,-4.2464666,12.489652,7.3746443,-20.197405,-14.782125,7.860061,11.545377,-6.0458775,14.074483,13.59591,-18.110716,-21.301281,0.43083146,9.678203,-7.5720615,8.709117,15.083674,-0.25247312,-7.3524947,-0.29248887,7.523826,-9.174831,-0.15613513,6.948812,4.8956857,0.032078054,0.387498,6.6271772,-8.863425,-6.325918,-3.0019786,-2.9772933,-4.218026,-2.1855814,4.146364,-6.366291,-8.504609,-8.947027,-8.971867,-8.84379,-7.20597,-2.10433
0.13976946,5.3471684,3.8654792,6.3055463,10.1176,10.093938,8.26158,-3.6177921,1.0696056,-5.7601686,-4.2271748,3.4154391,5.600065,8.69654,-5.6247654,-0.27266592,-6.3669405,-7.2566237,-1.7455363,1.7715777,7.284986,-7.657046,-1.7017384,-1.7130853,-3.113218,-2.4239872,0.87996566,7.1184325,-9.213643,-4.2108297,-1.6090043,-2.3661728,-2.620268,0.50038576,6.847009,-8.865694,-7.2385907,-5.1421094,-5.109815,-4.8857837,-2.0378678,4.250267,-6.3353815,-8.465602,-8.908732,-8.937898,-8.817807,-7.191709,-2.0984817
-1.438428,5.5280385,6.992986,7.040143,9.143146,10.258643,8.5035515,-6.8892455,-0.07886396,-0.25981224,-2.051269,1.8764619,5.5991044,8.947261,-9.205716,-2.9596927,-2.819524,-5.327538,-2.584282,1.7717626,7.508885,-9.673191,-4.100358,-1.7719051,-2.8724365,-2.4553182,0.95750666,7.3553715,-9.873892,-5.327393,-2.2850316,-2.4960442,-2.539995,0.58177817,7.0888085,-9.147541,-7.514811,-5.3134537,-5.2012224,-4.9873433,-2.0656834,4.409218,-6.5189285,-8.716492,-9.181481,-9.221791,-9.101853,-7.4143987,-2.150567
11.93974,0.8299436,-18.912579,-0.37113357,16.506458,12.118694,8.458514,24.478535,4.14908,-48.61225,-29.106064,10.737931,10.209687,8.867243,30.992826,21.695812,-41.32378,-37.315968,-0.9904433,4.986269,7.4422545,22.891514,30.031618,-2.9478762,-12.546743,-3.6336646,1.5094997,7.3330035,6.4202533,17.952005,12.842892,1.9420089,-2.7176802,0.3099409,7.072301,-6.6068945,-1.1882198,-0.20336333,-3.716986,-5.161468,-2.1968951,4.3831224,-6.5252347,-8.739187,-9.231693,-9.276744,-9.117311,-7.404485,-2.1507351
-1.5844723,6.6552544,8.284188,4.331294,6.921124,10.836868,8.709608,-7.1277432,1.7384633,3.5692296,-4.9400325,-2.576177,5.9357076,9.411136,-9.420327,-1.4814517,1.5313255,-5.780022,-5.564734,1.4949768,7.7048106,-9.670004,-3.5448418,0.3742115,-1.8063504,-2.6420126,0.6908308,7.149329,-9.6805935,-5.1698685,-1.713694,-1.8037456,-2.318973,0.39861342,6.805815,-8.904716,-7.332476,-5.1583467,-5.029516,-4.89858,-2.081334,4.2369533,-6.336499,-8.468824,-8.914708,-8.945286,-8.824322,-7.195622,-2.099882
