Time,Amp
15.45,3159.082
15.5,4176.918
15.55,4936.506
15.6,5391.284
15.65,5509.851
15.7,5285.169
15.75,4726.442
15.8,3866.695
15.85,2758.986
15.9,1470.449
15.95,76.87912
16,-1329.684
16.05,-2665.323
16.1,-3842.332
16.15,-4785.996
16.2,-5434.055
16.25,-5742.654
16.3,-5686.89
16.35,-5264.596
16.4,-4496.346
16.45,-3422.745
16.5,-2104.431
16.55,-614.4916
16.6,959.9063
16.65,2531.056
16.7,4008.542
16.75,5309.532
16.8,6361.477
16.85,7108.07
16.9,7509.25
16.95,7547.689
17,7226.096
17.05,6567.751
17.1,5617.59
17.15,4429.753
17.2,3077.331
17.25,1636.118
17.3,183.5354
17.35,-1202.996
17.4,-2456.342
17.45,-3519.115
17.5,-4350.167
17.55,-4924.054
17.6,-5232.111
17.65,-5283.545
17.7,-5103.799
17.75,-4730.232
17.8,-4209.402
17.85,-3594.37
17.9,-2941.98
17.95,-2299.335
18,-1715.162
18.05,-1226.276
18.1,-853.7914
18.15,-612.326
18.2,-497.0073
18.25,-494.8417
18.3,-583.0903
18.35,-726.0204
18.4,-885.7341
18.45,-1025.416
18.5,-1105.543
18.55,-1096.34
18.6,-974.5241
18.65,-726.0204
18.7,-350.8287
18.75,140.2232
18.8,726.5618
18.85,1376.245
18.9,2048.666
18.95,2702.68
19,3292.809
19.05,3776.822
19.1,4118.447
19.15,4288.989
19.2,4271.123
19.25,4058.352
19.3,3657.714
19.35,3088.159
19.4,2378.38
19.45,1566.277
19.5,696.7847
19.55,-182.4526
19.6,-1025.957
19.65,-1787.169
19.7,-2428.189
19.75,-2919.241
19.8,-3239.21
19.85,-3380.516
19.9,-3344.242
19.95,-3142.299
20,-2797.426
20.05,-2336.151
20.1,-1793.666
20.15,-1204.62
20.2,-605.2877
20.25,-29.23572
20.3,495.9245
20.35,947.454
20.4,1310.735
20.45,1577.646
20.5,1747.105
20.55,1825.609
20.6,1822.901
20.65,1754.685
20.7,1634.494
20.75,1480.735
20.8,1306.945
20.85,1124.493
20.9,939.8743
20.95,757.9632
21,579.8419
21.05,401.1791
21.1,214.9367
21.15,16.24207
21.2,-200.8602
21.25,-442.3257
21.3,-710.3198
21.35,-999.97
21.4,-1306.404
21.45,-1616.086
21.5,-1917.647
21.55,-2188.348
21.6,-2409.781
21.65,-2560.291
21.7,-2619.846
21.75,-2575.451
21.8,-2414.654
21.85,-2134.208
21.9,-1736.277
21.95,-1233.856
22,-645.8929
22.05,1.624207
22.1,677.2943
22.15,1344.302
22.2,1965.832
22.25,2505.61
22.3,2931.693
22.35,3216.471
22.4,3341.535
22.45,3296.057
22.5,3080.579
22.55,2707.553
22.6,2198.635
22.65,1581.436
22.7,894.3965
22.75,180.287
22.8,-518.1219
22.85,-1158.601
22.9,-1701.086
22.95,-2113.093
23,-2370.259
23.05,-2457.425
23.1,-2370.801
23.15,-2120.131
23.2,-1722.201
23.25,-1205.703
23.3,-605.2877
23.35,38.43956
23.4,683.7911
23.45,1285.289
23.5,1806.659
23.55,2213.794
23.6,2479.622
23.65,2586.82
23.7,2531.597
23.75,2315.036
23.8,1952.297
23.85,1464.493
23.9,881.9443
23.95,238.217
24,-426.625
24.05,-1077.391
24.1,-1678.347
24.15,-2197.01
24.2,-2606.311
24.25,-2888.922
24.3,-3034.018
24.35,-3038.35
24.4,-2906.789
24.45,-2651.789
24.5,-2291.214
24.55,-1847.806
24.6,-1348.092
24.65,-817.5175
24.7,-284.7776
24.75,228.4718
24.8,698.4089
24.85,1109.875
24.9,1448.792
24.95,1707.583
25,1882.997
25.05,1976.66
25.1,1995.067
25.15,1944.717
25.2,1835.895
25.25,1682.678
25.3,1493.729
25.35,1283.665
25.4,1062.231
25.45,840.2563
25.5,624.7782
25.55,422.2938
25.6,237.6756
25.65,73.08931
25.7,-67.67529
25.75,-186.7838
25.8,-283.1534
25.85,-357.3255
25.9,-412.0071
25.95,-447.1983
26,-465.0645
26.05,-467.7715
26.1,-458.0263
26.15,-437.453
26.2,-409.3001
26.25,-376.816
26.3,-343.7904
26.35,-313.4719
26.4,-289.6502
26.45,-277.198
26.5,-279.3636
26.55,-298.3127
26.6,-336.2108
26.65,-393.5995
26.7,-468.313
26.75,-558.1857
26.8,-657.2624
26.85,-758.5046
26.9,-854.8742
26.95,-935.0017
27,-990.2248
27.05,-1010.257
27.1,-985.8936
27.15,-910.6386
27.2,-780.1606
27.25,-592.2941
27.3,-350.8287
27.35,-61.17846
27.4,265.2871
27.45,616.1158
27.5,972.8999
27.55,1315.608
27.6,1625.831
27.65,1882.997
27.7,2067.074
27.75,2162.902
27.8,2160.737
27.85,2052.997
27.9,1839.144
27.95,1526.213
28,1126.658
28.05,659.9694
28.1,146.72
28.15,-383.3128
28.2,-903.059
28.25,-1381.659
28.3,-1792.583
28.35,-2113.093
28.4,-2320.991
28.45,-2407.616
28.5,-2367.552
28.55,-2204.049
28.6,-1930.099
28.65,-1564.111
28.7,-1133.155
28.75,-666.4662
28.8,-196.529
28.85,242.5482
28.9,622.0712
28.95,915.5112
29,1102.295
29.05,1172.136
29.1,1122.868
29.15,960.4477
29.2,702.7401
29.25,371.9434
29.3,1.082805
29.35,-377.8988
29.4,-727.6447
29.45,-1013.505
29.5,-1205.703
29.55,-1279.334
29.6,-1219.779
29.65,-1021.626
29.7,-691.9121
29.75,-247.4209
29.8,285.319
29.85,870.5749
29.9,1466.659
29.95,2028.093
30,2511.565
30.05,2873.763
30.1,3080.038
30.15,3104.401
30.2,2932.776
30.25,2564.081
30.3,2010.768
30.35,1296.658
30.4,460.7333
30.45,-450.9881
30.5,-1383.283
30.55,-2279.303
30.6,-3081.662
30.65,-3736.217
30.7,-4196.409
30.75,-4428.129
30.8,-4409.18
30.85,-4133.606
30.9,-3608.988
30.95,-2860.228
31,-1924.144
31.05,-851.6258
31.1,297.2299
31.15,1461.786
31.2,2574.909
31.25,3574.879
31.3,4405.932
31.35,5023.13
31.4,5395.615
31.45,5505.52
31.5,5350.679
31.55,4945.168
31.6,4319.849
31.65,3514.784
31.7,2581.406
31.75,1577.105
31.8,561.4341
31.85,-406.5931
31.9,-1273.92
31.95,-1998.857
32,-2544.591
32.05,-2895.419
32.1,-3045.388
32.15,-3002.076
32.2,-2790.929
32.25,-2443.348
32.3,-2001.023
32.35,-1513.761
32.4,-1028.664
32.45,-592.8355
32.5,-248.5036
32.55,-25.44591
32.6,53.59882
32.65,-17.86627
32.7,-234.9686
32.75,-579.8419
32.8,-1021.085
32.85,-1519.716
32.9,-2029.176
32.95,-2500.737
33,-2885.674
33.05,-3140.133
33.1,-3227.84
33.15,-3122.808
33.2,-2813.126
33.25,-2300.959
33.3,-1602.009
33.35,-747.6766
33.4,221.9749
33.45,1252.805
33.5,2289.59
33.55,3271.153
33.6,4138.479
33.65,4840.137
33.7,5332.813
33.75,5584.023
33.8,5576.444
33.85,5308.449
33.9,4795.2
33.95,4063.766
34,3158
34.05,2127.17
34.1,1033.537
34.15,-63.34407
34.2,-1100.13
34.25,-2022.137
34.3,-2782.266
34.35,-3342.076
34.4,-3680.453
34.45,-3789.274
34.5,-3677.746
34.55,-3366.981
34.6,-2892.171
34.65,-2298.794
34.7,-1637.742
34.75,-964.7789
34.8,-333.5038
34.85,206.8157
34.9,613.4088
34.95,856.4984
35,918.7596
35.05,797.4855
35.1,502.9627
35.15,59.01285
35.2,-497.0073
35.25,-1120.703
35.3,-1761.723
35.35,-2367.011
35.4,-2885.133
35.45,-3270.611
35.5,-3485.007
35.55,-3503.956
35.6,-3313.923
35.65,-2917.075
35.7,-2328.571
35.75,-1575.481
35.8,-697.8675
35.85,253.9177
35.9,1229.525
35.95,2172.647
36,3029.687
36.05,3753.542
36.1,4304.689
36.15,4654.977
36.2,4788.162
36.25,4702.62
36.3,4408.639
36.35,3930.581
36.4,3299.847
36.45,2557.584
36.5,1751.436
36.55,929.0463
36.6,133.7264
36.65,-590.6699
36.7,-1210.575
36.75,-1700.545
36.8,-2047.042
36.85,-2245.195
36.9,-2300.418
36.95,-2231.66
37,-2058.411
37.05,-1810.991
37.1,-1521.34
37.15,-1220.321
37.2,-936.0845
37.25,-692.9949
37.3,-508.9182
37.35,-394.1409
37.4,-349.7459
37.45,-369.7778
37.5,-440.1601
37.55,-543.0265
37.6,-655.6382
37.65,-753.632
37.7,-813.7276
37.75,-814.269
37.8,-740.0969
37.85,-580.9246
37.9,-334.5866
37.95,-7.038229
38,388.7268
38.05,834.8423
38.1,1305.321
38.15,1772.551
38.2,2205.132
38.25,2575.992
38.3,2855.897
38.35,3025.897
38.4,3069.751
38.45,2977.713
38.5,2751.406
38.55,2398.412
38.6,1933.889
38.65,1380.034
38.7,763.9186
38.75,115.8601
38.8,-531.657
38.85,-1148.314
38.9,-1703.793
38.95,-2173.189
39,-2537.552
39.05,-2780.642
39.1,-2898.126
39.15,-2888.922
39.2,-2758.986
39.25,-2520.228
39.3,-2190.514
39.35,-1788.252
39.4,-1338.346
39.45,-862.9952
39.5,-384.937
39.55,73.08931
39.6,493.7589
39.65,861.9124
39.7,1165.639
39.75,1396.818
39.8,1550.576
39.85,1630.162
39.9,1638.283
39.95,1581.436
40,1468.283
40.05,1310.193
40.1,1119.078
40.15,905.766
40.2,682.1669
40.25,461.2747
40.3,251.752
40.35,61.17846
40.4,-101.7836
40.45,-233.3444
40.5,-330.2554
40.55,-390.8925
40.6,-417.4212
40.65,-411.4657
40.7,-377.8988
40.75,-322.6758
40.8,-252.2935
40.85,-173.7901
40.9,-95.82821
40.95,-25.98731
41,28.69432
41.05,62.80267
41.1,72.0065
41.15,53.05743
41.2,5.955425
41.25,-67.67529
41.3,-164.0449
41.35,-277.198
41.4,-399.5549
41.45,-522.4532
41.5,-636.1477
41.55,-731.9758
41.6,-800.734
41.65,-833.7595
41.7,-828.8868
41.75,-779.6193
41.8,-688.6637
41.85,-556.5615
41.9,-390.351
41.95,-198.6946
42,10.28664
42.05,222.5163
42.1,426.625
42.15,609.619
42.2,760.1288
42.25,870.0334
42.3,932.2947
42.35,943.6642
42.4,903.059
42.45,814.8104
42.5,686.4981
42.55,527.8672
42.6,351.3701
42.65,170.0003
42.7,-1.082805
42.75,-149.427
42.8,-262.5801
42.85,-331.8796
42.9,-350.2873
42.95,-317.8031
43,-236.0514
43.05,-111.5289
43.1,44.39499
43.15,217.6437
43.2,394.1409
43.25,552.7717
43.3,679.4599
43.35,757.4218
43.4,772.0397
43.45,715.1924
43.5,580.3832
43.55,368.6949
43.6,85.00016
43.65,-262.5801
43.7,-655.6382
43.75,-1075.766
43.8,-1499.143
43.85,-1904.112
43.9,-2264.686
43.95,-2559.75
44,-2767.107
44.05,-2871.598
44.1,-2862.394
44.15,-2734.623
44.2,-2489.368
44.25,-2135.291
44.3,-1686.468
44.35,-1160.766
44.4,-583.0903
44.45,21.65609
44.5,624.7782
44.55,1200.289
44.6,1720.576
44.65,2162.902
44.7,2509.4
44.75,2744.909
44.8,2865.101
44.85,2865.642
44.9,2752.489
44.95,2534.304
45,2225.164
45.05,1843.475
45.1,1409.812
45.15,946.3712
45.2,474.2684
45.25,12.45225
45.3,-418.504
45.35,-805.0652
45.4,-1134.238
45.45,-1398.984
45.5,-1593.888
45.55,-1718.411
45.6,-1775.8
45.65,-1769.303
45.7,-1705.417
45.75,-1591.723
45.8,-1436.34
45.85,-1246.308
45.9,-1029.747
45.95,-792.6129
46,-540.3195
46.05,-277.7394
46.1,-10.28664
46.15,260.4145
46.2,528.95
46.25,790.4473
46.3,1041.658
46.35,1273.92
46.4,1481.818
46.45,1656.691
46.5,1790.959
46.55,1875.959
46.6,1902.488
46.65,1866.214
46.7,1761.182
46.75,1589.016
46.8,1349.175
46.85,1049.238
46.9,698.9504
46.95,312.3891
47,-92.03838
47.05,-495.9245
47.1,-874.9061
47.15,-1207.327
47.2,-1473.697
47.25,-1652.901
47.3,-1731.404
47.35,-1700.003
47.4,-1553.825
47.45,-1297.741
47.5,-940.4157
47.55,-500.7971
47.6,-1.082805
47.65,530.5742
47.7,1063.855
47.75,1566.818
47.8,2005.354
47.85,2353.476
47.9,2582.489
47.95,2677.776
48,2627.425
48.05,2429.272
48.1,2089.813
48.15,1625.29
48.2,1058.983
48.25,420.6696
48.3,-254.4591
48.35,-930.1291
48.4,-1568.442
48.45,-2132.042
48.5,-2589.527
48.55,-2915.993
48.6,-3093.031
48.65,-3111.98
48.7,-2973.381
48.75,-2684.814
48.8,-2267.393
48.85,-1743.315
48.9,-1145.066
48.95,-507.2939
49,133.7264
49.05,743.3453
49.1,1290.703
49.15,1748.188
49.2,2093.603
49.25,2316.119
49.3,2409.781
49.35,2377.839
49.4,2231.66
49.45,1986.946
