Wall time,Step,Value
1645966453.1680322,4,0.002474774606525898
1645966457.8142025,5,0.0023659016005694866
1645966485.883212,11,0.0026072089094668627
1645966504.545679,15,0.002162613905966282
1645966509.219826,16,0.001993220066651702
1645966523.3715878,19,0.001740826410241425
1645966528.0606077,20,0.0016147653805091977
1645966532.821961,21,0.001600569230504334
1645966542.5033336,23,0.0015729517908766866
1645966547.2374291,24,0.0015203232178464532
1645966561.3710577,27,0.0012983850901946425
1645966566.0650563,28,0.0013072658330202103
1645966617.8920655,39,0.0010803713230416179
1645966627.3473377,41,0.0010538011556491256
1645966660.5758595,48,0.0009172987774945796
1645966665.3266914,49,0.0009118802845478058
1645966670.0727766,50,0.0009039643919095397
1645966679.5267448,52,0.00087386165978387
1645966693.8149812,55,0.0008502615964971483
1645966708.0137496,58,0.0008149371715262532
1645966722.2942936,61,0.000796455075033009
1645966727.0328484,62,0.0007861279882490635
1645966731.7199612,63,0.0007758495048619807
1645966736.4934402,64,0.000768710917327553
1645966745.9896069,66,0.0007571942987851799
1645966750.7940822,67,0.0007500690408051014
1645966755.4917057,68,0.0007432388374581933
1645966760.2382345,69,0.000736814399715513
1645966769.631767,71,0.0007253504008986056
1645966774.410446,72,0.0007203156710602343
1645966802.810963,78,0.0006883610039949417
1645966812.241407,80,0.0006791034247726202
1645966826.483114,83,0.0006664153770543635
1645966840.842452,86,0.0006542748888023198
1645966859.818962,90,0.0006389549816958606
1645966907.0110116,100,0.0006048546638339758
1645966925.9635396,104,0.000592542695812881
1645966940.1598146,107,0.0005837891367264092
1645966944.930527,108,0.0005810013972222805
1645966954.3026578,110,0.0005755297024734318
1645966987.5322688,117,0.0005578043637797236
1645967011.1667693,122,0.0005463571287691593
1645967030.1533992,126,0.0005378745845519006
1645967034.902273,127,0.0005358669441193342
1645967044.3482876,129,0.0005319628398865461
1645967053.8456454,131,0.000528171774931252
1645967082.2046616,137,0.0005174955585971475
1645967086.9533603,138,0.000515810155775398
1645967120.1445398,145,0.0005046985461376607
1645967129.6087832,147,0.0005017406074330211
1645967134.3568866,148,0.0005002925172448158
1645967148.554041,151,0.000496064021717757
1645967181.8727932,158,0.00048687568050809205
1645967196.153118,161,0.0004831607802771032
1645967205.6831598,163,0.00048074914957396686
1645967215.2220936,165,0.0004783870535902679
1645967243.7584283,171,0.00047157032531686127
1645967248.4927883,172,0.00047047031694091856
1645967253.2195797,173,0.0004693792143370956
1645967276.9448245,178,0.0004640640690922737
1645967295.8476698,182,0.0004600404354277998
1645967310.1164613,185,0.00045712877181358635
1645967314.8535783,186,0.0004561740788631141
1645967319.6072853,187,0.0004552269820123911
1645967338.5644403,191,0.0004515160107985139
1645967343.3256094,192,0.000450608495157212
1645967348.0545416,193,0.00044970950693823397
1645967381.3799937,200,0.0004436368471942842
1645967395.635655,203,0.00044115950004197657
1645967400.4023073,204,0.00044034855091013014
1645967405.140789,205,0.00043954310240224004
1645967409.9089868,206,0.00043874335824511945
1645967419.4633412,208,0.0004371604882180691
1645967438.420071,212,0.0004340572631917894
1645967447.9043624,214,0.0004325355403125286
1645967457.4642384,216,0.0004310333461035043
1645967476.4348538,220,0.0004280528810340911
1645967481.2674952,221,0.0004273056401871145
1645967486.1159263,222,0.0004265602328814566
1645967500.7243054,225,0.00042431746260263026
1645967525.2538342,230,0.00042062505963258445
1645967574.0074246,240,0.0004132935719098896
1645967583.4786415,242,0.00041185785084962845
1645967597.7490103,245,0.0004097379569429904
1645967602.4922807,246,0.0004090383881703019
1645967607.2399697,247,0.00040834402898326516
1645967645.2561662,255,0.0004029609845019877
1645967664.2930763,259,0.0004003605281468481
1645967669.0365806,260,0.0003997173917014152
1645967673.8286202,261,0.0003990780096501112
1645967725.997054,272,0.000392295973142609
1645967740.2963002,275,0.0003905220073647797
1645967749.7400265,277,0.00038935168413445354
1645967759.1807156,279,0.00038820100598968565
1645967768.695733,281,0.00038706528721377254
1645967778.2451656,283,0.0003859455173369497
1645967792.4221148,286,0.00038429925916716456
1645967806.8122213,289,0.0003826960164587945
1645967816.3001268,291,0.0003816497337538749
1645967840.116056,296,0.0003791151393670589
1645967849.6014245,298,0.00037812863592989743
1645967854.3242111,299,0.00037764175795018673
1645967892.3629465,307,0.0003739098901860416
1645967901.7958736,309,0.0003730208845809102
1645967920.689381,313,0.0003712897014338523
1645967939.6370256,317,0.0003696180647239089
1645967949.1291573,319,0.00036880315747112036
1645967953.851766,320,0.0003684001858346164
1645967968.1076841,323,0.00036721350625157356
1645968039.2934914,338,0.0003617449547164142
1645968044.0427704,339,0.0003614022571127862
1645968067.7531247,344,0.00035972672048956156
1645968077.2005818,346,0.00035907322308048606
1645968081.9796572,347,0.00035875040339305997
1645968110.4877355,353,0.0003568586253095418
1645968120.0491924,355,0.00035624433076009154
1645968139.1418242,359,0.00035502068931236863
1645968158.126135,363,0.000353782728780061
1645968162.9204447,364,0.00035346802906133235
1645968167.7266304,365,0.00035315105924382806
1645968172.4373388,366,0.00035283243050798774
1645968177.1834185,367,0.0003525109204929322
1645968181.9254344,368,0.0003521864127833396
1645968234.1543655,379,0.0003486432251520455
1645968271.9164994,387,0.0003463498142082244
1645968290.847399,391,0.0003453097306191921
1645968300.3819985,393,0.0003448163333814591
1645968309.8747318,395,0.00034434074768796563
1645968323.9560218,398,0.0003436556726228446
1645968347.520926,403,0.0003425974864512682
1645968356.9806912,405,0.0003422000736463815
1645968380.5754576,410,0.00034124116064049304
1645968399.530475,414,0.0003405050956644118
1645968404.2680056,415,0.0003403237205930054
1645968409.0557237,416,0.0003401423746254295
1645968437.4813268,422,0.0003390680649317801
1645968442.2713795,423,0.00033889178303070366
1645968456.446699,426,0.0003383593575563282
1645968461.2539675,427,0.00033818528754636645
1645968480.2291298,431,0.00033748653368093073
1645968503.8852074,436,0.00033662255736999214
1645968508.6413128,437,0.0003364525327924639
1645968513.3929257,438,0.00033627959783189
1645968522.7859023,440,0.00033594382693991065
1645968532.2437613,442,0.00033560566953383386
1645968541.6802225,444,0.00033526888000778854
1645968546.3866868,445,0.00033509821514599025
1645968555.8428643,447,0.00033476174576207995
1645968574.753552,451,0.0003340845578350127
1645968584.260811,453,0.0003337459056638181
1645968603.337535,457,0.00033306359546259046
1645968622.3614154,461,0.00033237409661524
1645968627.128295,462,0.0003321961557958275
1645968646.1297243,466,0.0003314698114991188
1645968650.8970199,467,0.00033128171344287694
1645968660.3606825,469,0.0003308944287709892
1645968669.8000267,471,0.0003304939018562436
1645968688.8166852,475,0.0003296435752417892
1645968693.5283444,476,0.00032942561665549874
1645968717.2174625,481,0.00032833730801939964
1645968721.9222646,482,0.0003281268000137061
1645968736.01749,485,0.0003275590715929866
1645968750.2170098,488,0.00032703031320124865
1645968754.9504957,489,0.00032685912447050214
1645968759.662587,490,0.00032669660868123174
1645968769.1462302,492,0.0003263765829615295
1645968783.320124,495,0.0003259039658587426
1645968802.181101,499,0.00032532837940379977
1645968821.1282046,503,0.00032475966145284474
1645968825.8790896,504,0.00032463137176819146
1645968854.3307118,510,0.0003238107019569725
1645968859.0361834,511,0.00032367202220484614
1645968863.787326,512,0.00032353674760088325
1645968868.4676013,513,0.0003234039177186787
1645968873.1679697,514,0.00032326666405424476
1645968877.9052315,515,0.00032314102281816304
1645968892.0930533,518,0.0003227431152481586
1645968896.7684565,519,0.00032261721207760274
1645968901.4415076,520,0.000322477804729715
1645968967.7519433,534,0.0003206677210982889
1645968972.5327609,535,0.0003205414686817676
1645968981.9908538,537,0.0003202883235644549
1645968986.6631734,538,0.0003201624203938991
1645968991.42909,539,0.0003200360224582255
1645969000.8834934,541,0.00031978616607375443
1645969010.319843,543,0.0003195373574271798
1645969019.8073704,545,0.00031929175020195544
1645969029.3136845,547,0.00031904521165415645
1645969034.0757556,548,0.00031892824335955083
1645969048.351478,551,0.00031856028363108635
1645969057.7919607,553,0.000318332138704136
1645969071.9688668,556,0.0003179882187396288
1645969076.7236042,557,0.0003178558254148811
1645969105.0239093,563,0.00031717208912596107
1645969109.767735,564,0.0003170697600580752
1645969114.5041409,565,0.0003169484552927315
1645969133.5024204,569,0.0003165013331454247
1645969147.6207607,572,0.0003161683271173388
1645969157.0961246,574,0.0003159456537105143
1645969171.3060408,577,0.00031561192008666694
1645969190.245188,581,0.00031519203912466764
1645969209.2746265,585,0.0003147696261294186
1645969214.005805,586,0.00031467858934774995
1645969228.2440398,589,0.000314368779072538
1645969237.7517095,591,0.0003141700872220099
1645969242.4980018,592,0.00031408158247359097
1645969256.6451514,595,0.0003137819585390389
1645969266.0530972,597,0.0003135934821330011
1645969275.6079414,599,0.00031340925488620996
1645969280.308107,600,0.00031334825325757265
1645969294.4747837,603,0.000313098105834797
1645969299.2530246,604,0.0003130365803372115
1645969322.8881295,609,0.0003125374496448785
1645969346.4719052,614,0.00031203904654830694
1645969351.1209521,615,0.0003119141038041562
1645969360.611115,617,0.000311716110445559
1645969379.4851096,621,0.00031133877928368747
1645969388.9387386,623,0.000311172945657745
1645969393.6367054,624,0.0003111169207841158
1645969407.8651743,627,0.0003108919772785157
1645969417.34739,629,0.0003107488446403295
1645969422.0752337,630,0.0003106909862253815
1645969440.9273078,634,0.0003102794580627233
1645969459.7236042,638,0.0003098101879004389
1645969473.9967277,641,0.00030942296143621206
1645969478.7511375,642,0.00030934871756471694
1645969483.4893303,643,0.00030922488076612353
1645969488.2362027,644,0.00030919237178750336
1645969492.9903677,645,0.00030911481007933617
1645969516.2925835,650,0.00030985038029029965
1645969525.5878072,652,0.00031077914172783494
1645969530.2648427,653,0.00031103359651751816
1645969539.5692434,655,0.0003110383404418826
1645969544.2595139,656,0.00031066412338986993
1645969558.3851898,659,0.0003080347669310868
1645969567.8461647,661,0.00030691298888996243
1645969600.7854745,668,0.0003072065592277795
1645969614.9485075,671,0.00030632808920927346
1645969638.7104063,676,0.0003058572474401444
1645969643.4006255,677,0.0003058437432628125
1645969662.240378,681,0.0003054321277886629
1645969681.201184,685,0.0003050620434805751
1645969695.4109826,688,0.0003049283695872873
1645969719.1282997,693,0.0003045362827833742
1645969728.6043506,695,0.00030437836539931595
1645969738.1448307,697,0.0003042520838789642
1645969742.856116,698,0.00030420036637224257
1645969752.3430052,700,0.00030408790917135775
1645969766.453302,703,0.0003038840077351779
1645969780.678331,706,0.0003036727721337229
1645969804.3322065,711,0.00030335166957229376
1645969827.9801283,716,0.0003030146472156048
1645969837.3954763,718,0.00030288161360658705
1645969851.579682,721,0.0003026873164344579
1645969856.311444,722,0.00030262491782195866
1645969865.7800703,724,0.0003024951438419521
1645969875.2370365,726,0.0003023643512278795
1645969879.964927,727,0.00030229720869101584
1645969889.4401314,729,0.0003021651064045727
1645969894.1686144,730,0.00030210279510356486
1645969903.6570814,732,0.00030197188607417047
1645969908.402702,733,0.00030190846882760525
1645969913.1126144,734,0.00030184423667378724
1645969936.72317,739,0.00030152100953273475
1645969955.6084225,743,0.0003012623346876353
1645969965.1834762,745,0.0003011347143910825
1645970021.9895816,757,0.0003003660240210593
1645970031.4140081,759,0.0003002377925440669
1645970059.803249,765,0.0002998568525072187
1645970064.5241,766,0.00029979165992699564
1645970078.8299072,769,0.00029960169922560453
1645970083.5726953,770,0.00029953665216453373
1645970097.7260792,773,0.0002993464295286685
1645970111.9040225,776,0.0002991552755702287
1645970116.640145,777,0.0002990923239849508
1645970126.0494604,779,0.00029896697378717363
1645970130.7667406,780,0.00029890440055169165
1645970135.5215292,781,0.00029884136165492237
1645970140.2550008,782,0.00029877928318455815
1645970144.9960134,783,0.0002987167099490762
1645970173.4124842,789,0.00029834851738996804
1645970187.6690042,792,0.00029816318419761956
1645970249.3368297,805,0.00029737743898294866
1645970254.079286,806,0.0002973185037262738
1645970258.8457835,807,0.00029725857893936336
1645970263.617898,808,0.00029719967278651893
1645970277.7441406,811,0.0002970219065900892
1645970315.7447271,819,0.0002965378516819328
1645970320.47573,820,0.0002964749583043158
1645970358.466579,828,0.0002959192788694054
1645970363.167243,829,0.00029583435389213264
1645970382.1411035,833,0.00029546828591264784
1645970386.904255,834,0.00029538062517531216
1645970396.4168987,836,0.0002952266368083656
1645970401.148555,837,0.0002951589412987232
1645970415.36013,840,0.00029497750801965594
1645970420.0929255,841,0.00029492174508050084
1645970434.4280849,844,0.00029475888004526496
1645970443.9285703,846,0.0002946531167253852
1645970467.6737275,851,0.0002943988365586847
1645970472.4041085,852,0.00029434909811243415
1645970486.6313245,855,0.00029420023201964796
1645970500.8971748,858,0.00029405305394902825
1645970515.117407,861,0.00029390494455583394
1645970524.5826342,863,0.0002938068355433643
1645970538.9678242,866,0.0002936587552540004
1645970543.7547402,867,0.000293609278742224
1645970562.651913,871,0.00029340939363464713
1645970567.4481823,872,0.00029335927683860064
1645970629.0716298,885,0.00029269931837916374
1645970638.6063924,887,0.0002925969019997865
1645970657.5775514,891,0.0002923925349023193
1645970666.998394,893,0.00029228979838080704
1645970681.2680163,896,0.0002921362465713173
1645970690.7861238,898,0.00029203403391875327
1645970695.5152304,899,0.0002919822291005403
1645970709.765486,902,0.00029182940488681197
1645970714.5310292,903,0.0002917783858720213
1645970738.1914427,908,0.0002915275108534843
1645970742.9404893,909,0.00029147768509574234
